"LEAID","FIPST","YEAR","V33","A09","C10","C25","OPERATIONAL_SCHOOLS","SCHLEV","AGCHRT","GSLO","GSHI","LOCALE","URBANICITY"
"4702130","47",7,7430,845000,34000,1754000,10,"03","3","PK","12","13","Urban"
"4702160","47",7,2331,319000,15000,830000,7,"03","3","PK","12","41","Rural"
"4702190","47",7,6543,1409000,27000,1400000,11,"03","3","PK","12","13","Urban"
"4702220","47",7,54490,9165000,241000,9899000,86,"03","3","PK","12","21","Urban"
"4702280","47",7,961,0,0,355000,3,"03","3","PK","12","43","Rural"
"4702310","47",7,4600,616000,28000,1820000,7,"03","3","PK","12","32","Town"
"4702340","47",7,6980,1425000,41000,1874000,13,"03","3","PK","12","42","Rural"
"4702370","47",7,3309,424000,19000,898000,5,"01","3","PK","08","31","Town"
"4702400","47",7,2214,0,9000,502000,3,"03","3","PK","12","21","Urban"
"4702430","47",7,1903,373000,12000,625000,4,"03","3","PK","12","33","Town"
"4702460","47",7,1142,217000,7000,299000,2,"01","3","PK","08","32","Town"
"4702490","47",7,4249,0,24000,973000,9,"03","3","PK","12","32","Town"
"4702520","47",7,5256,0,28000,1193000,9,"03","3","PK","12","41","Rural"
"4702550","47",7,3829,0,21000,950000,9,"03","3","PK","12","41","Rural"
"4702580","47",7,13830,1772000,80000,4337000,28,"03","3","PK","12","13","Urban"
"4702610","47",7,1358,231000,8000,382000,3,"03","3","PK","09","32","Town"
"4702640","47",7,4241,826000,23000,1159000,10,"03","3","PK","12","32","Town"
"4702670","47",7,5320,1204000,29000,1118000,9,"03","3","PK","12","42","Rural"
"4702700","47",7,5041,1348000,23000,615000,7,"03","3","PK","12","21","Urban"
"4702760","47",7,11728,2353000,59000,2616000,19,"03","3","PK","12","41","Rural"
"4702790","47",7,1442,255000,9000,499000,3,"03","3","PK","12","32","Town"
"4702820","47",7,6183,1039000,29000,1445000,9,"03","3","PK","12","41","Rural"
"4702880","47",7,4479,831000,25000,1156000,8,"03","3","PK","12","42","Rural"
"4702910","47",7,1934,0,10000,576000,4,"03","3","PK","12","42","Rural"
"4702940","47",7,115342,8148000,581000,39533000,198,"03","2","PK","12",NA,NA
"4702970","47",7,2170,401000,13000,681000,3,"03","3","PK","12","41","Rural"
"4703000","47",7,5557,784000,28000,1394000,12,"03","3","PK","12","41","Rural"
"4703030","47",7,28505,4572000,127000,5280000,32,"03","3","PK","12","12","Urban"
"4703060","47",7,946,256000,6000,206000,2,"03","3","PK","12","42","Rural"
"4703090","47",7,3399,585000,20000,889000,8,"03","3","PK","12","42","Rural"
"4703150","47",7,6870,1229000,40000,1640000,12,"01","3","PK","06","12","Urban"
"4703180","47",7,73715,9432000,315000,21708000,137,"03","2","PK","12","11","Urban"
"4703210","47",7,792,154000,4000,189000,1,"01","3","PK","08","32","Town"
"4703240","47",7,4509,866000,16000,807000,8,"03","3","PK","12","21","Urban"
"4703270","47",7,4103,719000,22000,1058000,8,"03","3","PK","12","41","Rural"
"4703300","47",7,1268,0,7000,299000,3,"03","3","PK","12","32","Town"
"4703330","47",7,3483,536000,19000,1037000,9,"03","3","PK","12","41","Rural"
"4703360","47",7,1625,226000,10000,430000,3,"01","3","PK","08","33","Town"
"4703390","47",7,1169,220000,6000,336000,4,"03","3","PK","12","43","Rural"
"4703420","47",7,676,108000,4000,233000,2,"03","3","PK","12","43","Rural"
"4703450","47",7,2713,441000,15000,901000,6,"03","3","PK","12","42","Rural"
"4703480","47",7,10996,1724000,53000,2457000,18,"03","3","PK","12","33","Town"
"4703510","47",7,4306,719000,20000,1086000,6,"03","3","PK","12","42","Rural"
"4703540","47",7,339,0,1000,65000,1,"03","3","PK","12","41","Rural"
"4703590","47",7,7456,1432000,69000,1800000,18,"03","3","PK","12","32","Town"
"4703600","47",7,11099,0,54000,2009000,18,"03","3","PK","12","41","Rural"
"4703660","47",7,671,0,4000,128000,1,"01","3","PK","08","32","Town"
"4703690","47",7,35595,6237000,159000,5390000,42,"03","3","PK","12","21","Urban"
"4703720","47",7,2953,242000,16000,1064000,7,"03","3","PK","12","42","Rural"
"4703750","47",7,2213,310000,12000,648000,3,"03","3","PK","12","41","Rural"
"4703780","47",7,14358,2428000,72000,3315000,25,"03","3","PK","12","41","Rural"
"4703810","47",7,46918,0,219000,5809000,50,"03","3","PK","12",NA,NA
"4703870","47",7,3279,678000,21000,843000,10,"03","3","PK","12","42","Rural"
"4703900","47",7,412,70000,2000,103000,1,"03","3","PK","12","42","Rural"
"4703960","47",7,2262,442000,13000,568000,5,"03","3","PK","12","42","Rural"
"4703990","47",7,12159,2466000,63000,2479000,28,"03","3","PK","12","22","Urban"
"4704020","47",7,26485,5841000,112000,3934000,42,"03","3","PK","12","21","Urban"
"4704050","47",7,1581,0,1000,555000,4,"01","3","PK","08","41","Rural"
"4704080","47",7,12060,1847000,62000,3233000,13,"03","3","PK","12","31","Town"
"4704100","47",7,1442,213000,16000,421000,3,"03","3","PK","12","32","Town"
"4704170","47",7,1314,0,7000,234000,3,"03","3","KG","12","42","Rural"
"4704200","47",7,3439,845000,20000,714000,7,"03","3","KG","12","32","Town"
"4704230","47",7,2624,322000,14000,633000,6,"03","3","PK","12","31","Town"
"4704260","47",7,1414,240000,9000,435000,3,"03","3","PK","12","33","Town"
"4704290","47",7,3051,366000,17000,905000,7,"03","3","PK","12","42","Rural"
"4704320","47",7,802,169000,5000,284000,2,"03","3","PK","12","42","Rural"
"4704350","47",7,6444,1033000,32000,1744000,11,"03","3","PK","12","32","Town"
"4704380","47",7,9206,0,41000,1828000,14,"03","3","PK","12","22","Urban"
"4704440","47",7,2626,0,14000,786000,8,"03","3","PK","12","43","Rural"
